virus_protein_id,rank,human_protein_id,distance,similarity,cluster_id,primary_cluster,embedding_similarity,virus_mimicry_score
sp|P04288|GM_HHV11,4,sp|Q9NX61|T161A_HUMAN,0.285073,0.714927,471,160,0.275490,0.495208
sp|P04288|GM_HHV11,5,sp|Q9BY78|RNF26_HUMAN,0.309665,0.690335,471,160,0.346617,0.518476
sp|P04291|TEG3_HHV11,2,sp|Q01196|RUNX1_HUMAN,0.230335,0.769665,410,410,0.358286,0.563976
sp|P04291|TEG3_HHV11,4,sp|Q86XN8|MEX3D_HUMAN,0.236135,0.763865,410,410,0.382829,0.573347
sp|P04291|TEG3_HHV11,5,sp|A1L020|MEX3A_HUMAN,0.248353,0.751647,410,410,0.382829,0.567238
sp|P04294|AN_HHV11,1,sp|Q9NR09|BIRC6_HUMAN,0.258745,0.741255,423,423,0.373645,0.557450
sp|P04294|AN_HHV11,2,sp|Q9NQT8|KI13B_HUMAN,0.260436,0.739564,423,423,0.339419,0.539492
sp|P04294|AN_HHV11,4,sp|Q9UPS6|SET1B_HUMAN,0.266002,0.733998,423,423,0.344686,0.539342
sp|P04294|AN_HHV11,5,sp|Q9H792|PEAK1_HUMAN,0.266346,0.733654,423,423,0.313382,0.523518
sp|P04295|TRM3_HHV11,1,sp|Q76B58|BRNP3_HUMAN,0.270749,0.729251,885,885,0.222591,0.475921
sp|P04295|TRM3_HHV11,2,sp|Q9C0B6|BRNP2_HUMAN,0.275358,0.724642,885,885,0.219520,0.472081
sp|P04295|TRM3_HHV11,3,sp|Q14703|MBTP1_HUMAN,0.280770,0.719230,885,885,0.358093,0.538662
sp|P04295|TRM3_HHV11,4,sp|O60477|BRNP1_HUMAN,0.303337,0.696663,885,885,0.259635,0.478149
sp|P04295|TRM3_HHV11,5,sp|O75339|CILP1_HUMAN,0.313385,0.686615,885,885,0.214335,0.450475
sp|P06477|GH_HHV11,1,sp|Q9C0B6|BRNP2_HUMAN,0.263742,0.736258,885,885,0.194687,0.465472
sp|P06477|GH_HHV11,2,sp|Q76B58|BRNP3_HUMAN,0.283136,0.716864,885,885,0.265377,0.491121
sp|P06477|GH_HHV11,3,sp|Q8IUL8|CILP2_HUMAN,0.289254,0.710746,885,885,0.259383,0.485064
sp|P06477|GH_HHV11,4,sp|Q4ZHG4|FNDC1_HUMAN,0.312023,0.687977,885,885,0.349294,0.518636
sp|P06477|GH_HHV11,5,sp|O75339|CILP1_HUMAN,0.321372,0.678628,885,885,0.253611,0.466120
sp|P06481|US9_HHV11,4,sp|P55082|MFAP3_HUMAN,0.262061,0.737939,410,40,0.322320,0.530129
sp|P06481|US9_HHV11,5,sp|Q01196|RUNX1_HUMAN,0.272400,0.727600,410,40,0.237129,0.482364
sp|P10190|PORTL_HHV11,1,sp|Q5VYS4|MEDAG_HUMAN,0.129285,0.870715,37,37,0.217561,0.544138
sp|P10190|PORTL_HHV11,4,sp|O75663|TIPRL_HUMAN,0.167455,0.832545,37,37,0.325282,0.578914
sp|P10190|PORTL_HHV11,5,sp|Q9NZD4|AHSP_HUMAN,0.172655,0.827345,37,37,0.330886,0.579116
sp|P10192|HEPA_HHV11,1,sp|Q6ZSY5|PPR3F_HUMAN,0.327984,0.672016,881,881,0.300197,0.486106
sp|P10192|HEPA_HHV11,2,sp|Q9BWT7|CAR10_HUMAN,0.331624,0.668376,881,881,0.213698,0.441037
sp|P10192|HEPA_HHV11,4,sp|O75064|DEN4B_HUMAN,0.342244,0.657756,881,881,0.307121,0.482438
sp|P10192|HEPA_HHV11,5,sp|Q9P2J2|TUTLA_HUMAN,0.344128,0.655872,881,881,0.241995,0.448933
sp|P10193|OBP_HHV11,1,sp|Q9C091|GRB1L_HUMAN,0.177217,0.822783,837,760,0.291632,0.557207
sp|P10193|OBP_HHV11,2,sp|Q4ZG55|GREB1_HUMAN,0.186836,0.813164,837,760,0.349887,0.581526
sp|P10193|OBP_HHV11,3,sp|Q70CQ2|UBP34_HUMAN,0.222100,0.777900,837,760,0.271736,0.524818
sp|P10193|OBP_HHV11,4,sp|Q9Y2I7|FYV1_HUMAN,0.227450,0.772550,837,760,0.321964,0.547257
sp|P10193|OBP_HHV11,5,sp|Q86Y13|DZIP3_HUMAN,0.230619,0.769381,837,760,0.280090,0.524736
sp|P10200|CEP2_HHV11,2,sp|Q9NXF7|DCA16_HUMAN,0.149128,0.850872,37,37,0.415382,0.633127
sp|P10200|CEP2_HHV11,4,sp|O15145|ARPC3_HUMAN,0.157702,0.842298,37,37,0.364236,0.603267
sp|P10200|CEP2_HHV11,5,sp|P47874|OMP_HUMAN,0.158296,0.841704,37,37,0.355811,0.598758
sp|P10215|NEC1_HHV11,2,sp|O15145|ARPC3_HUMAN,0.125385,0.874615,37,37,0.416836,0.645725
sp|P10215|NEC1_HHV11,3,sp|P47874|OMP_HUMAN,0.128587,0.871413,37,37,0.259019,0.565216
sp|P10215|NEC1_HHV11,4,sp|Q96D98|EID2B_HUMAN,0.129318,0.870682,37,37,0.260835,0.565759
sp|P10218|NEC2_HHV11,2,sp|Q96D98|EID2B_HUMAN,0.121663,0.878337,37,37,0.260874,0.569605
sp|P10218|NEC2_HHV11,3,sp|P47874|OMP_HUMAN,0.128614,0.871386,37,37,0.259057,0.565222
sp|P10218|NEC2_HHV11,4,sp|O15145|ARPC3_HUMAN,0.151499,0.848501,37,37,0.416824,0.632663
sp|P10225|SHUT_HHV11,1,sp|P49585|PCY1A_HUMAN,0.271290,0.728710,422,422,0.235067,0.481888
sp|P10225|SHUT_HHV11,2,sp|Q9Y5K3|PCY1B_HUMAN,0.271766,0.728234,422,422,0.235067,0.481650
sp|P10225|SHUT_HHV11,3,sp|Q6PIW4|FIGL1_HUMAN,0.296904,0.703096,422,422,0.352259,0.527677
sp|P10225|SHUT_HHV11,4,sp|O76075|DFFB_HUMAN,0.297277,0.702723,422,422,0.407709,0.555216
sp|P10225|SHUT_HHV11,5,sp|Q9NV66|TYW1_HUMAN,0.301111,0.698889,422,422,0.331075,0.514982
sp|P10230|TEG1_HHV11,2,sp|Q01196|RUNX1_HUMAN,0.215894,0.784106,410,410,0.357575,0.570840
sp|P10230|TEG1_HHV11,4,sp|Q13761|RUNX3_HUMAN,0.224275,0.775725,410,410,0.355902,0.565813
sp|P10230|TEG1_HHV11,5,sp|Q96RD6|PANX2_HUMAN,0.230534,0.769466,410,410,0.378329,0.573898
sp|P10231|TEG5_HHV11,1,sp|Q96D98|EID2B_HUMAN,0.156651,0.843349,37,37,0.338577,0.590963
sp|P10231|TEG5_HHV11,3,sp|P47874|OMP_HUMAN,0.201492,0.798508,37,37,0.325067,0.561788
sp|P10231|TEG5_HHV11,4,sp|O75956|CDKA2_HUMAN,0.203055,0.796945,37,37,0.442292,0.619618
sp|P10231|TEG5_HHV11,5,sp|Q6V702|CF299_HUMAN,0.217313,0.782687,37,37,0.414714,0.598700
sp|P10233|VP22_HHV11,2,sp|Q8NG27|PJA1_HUMAN,0.161278,0.838722,410,410,0.424598,0.631660
sp|P10233|VP22_HHV11,4,sp|Q01196|RUNX1_HUMAN,0.178681,0.821319,410,410,0.339884,0.580601
sp|P10233|VP22_HHV11,5,sp|Q13761|RUNX3_HUMAN,0.202638,0.797362,410,410,0.345142,0.571252
sp|P10235|TEG7_HHV11,2,sp|Q01196|RUNX1_HUMAN,0.224135,0.775865,410,410,0.290254,0.533059
sp|P10235|TEG7_HHV11,3,sp|Q86XN8|MEX3D_HUMAN,0.234649,0.765351,410,410,0.361575,0.563463
sp|P10235|TEG7_HHV11,4,sp|Q13761|RUNX3_HUMAN,0.237357,0.762643,410,410,0.304144,0.533394
sp|P10235|TEG7_HHV11,5,sp|A1L020|MEX3A_HUMAN,0.246875,0.753125,410,410,0.361575,0.557350
sp|P10236|PRIM_HHV11,1,sp|O60477|BRNP1_HUMAN,0.290495,0.709505,885,885,0.309184,0.509344
sp|P10236|PRIM_HHV11,2,sp|Q14703|MBTP1_HUMAN,0.301694,0.698306,885,885,0.275882,0.487094
sp|P10236|PRIM_HHV11,3,sp|O75339|CILP1_HUMAN,0.308758,0.691242,885,885,0.232282,0.461762
sp|P10236|PRIM_HHV11,4,sp|Q76B58|BRNP3_HUMAN,0.308880,0.691120,885,885,0.258774,0.474947
sp|P10236|PRIM_HHV11,5,sp|Q8IUL8|CILP2_HUMAN,0.311520,0.688480,885,885,0.229748,0.459114
sp|P36313|ICP34_HHV11,1,sp|Q8TAP8|PPR35_HUMAN,0.192303,0.807697,881,881,0.368229,0.587963
sp|P36313|ICP34_HHV11,2,sp|Q9H7J1|PPR3E_HUMAN,0.218397,0.781603,881,881,0.383440,0.582521
sp|P36313|ICP34_HHV11,3,sp|A6NHQ4|EPOP_HUMAN,0.229099,0.770901,881,881,0.415661,0.593281
sp|P36313|ICP34_HHV11,5,sp|B7ZBB8|PP13G_HUMAN,0.236348,0.763652,881,881,0.363872,0.563762
sp|P06480|GJ_HHV11,1,sp|Q5BLP8|NICOL_HUMAN,0.214565,0.785435,124,124,0.244279,0.514857
sp|P06480|GJ_HHV11,2,sp|Q96A98|TIP39_HUMAN,0.236069,0.763931,124,124,0.270672,0.517302
sp|P06480|GJ_HHV11,3,sp|Q8N729|NPW_HUMAN,0.243551,0.756449,124,124,0.224464,0.490456
sp|P06480|GJ_HHV11,4,sp|Q8NG41|NPB_HUMAN,0.247793,0.752207,124,124,0.183581,0.467894
sp|P06484|GG_HHV11,1,sp|Q6UXF1|TM108_HUMAN,0.143114,0.856886,152,152,0.311628,0.584257
sp|P06484|GG_HHV11,2,sp|O00592|PODXL_HUMAN,0.164454,0.835546,152,152,0.373362,0.604454
sp|P06484|GG_HHV11,3,sp|Q86TY3|ARMD4_HUMAN,0.177502,0.822498,152,152,0.374943,0.598720
sp|P06484|GG_HHV11,5,sp|Q9ULI3|HEG1_HUMAN,0.198104,0.801896,152,152,0.365134,0.583515
sp|P06491|MCP_HHV11,2,sp|Q5VYS4|MEDAG_HUMAN,0.182563,0.817437,37,37,0.163780,0.490608
sp|P06491|MCP_HHV11,3,sp|O75663|TIPRL_HUMAN,0.190230,0.809770,37,37,0.183577,0.496673
sp|P06491|MCP_HHV11,4,sp|P47874|OMP_HUMAN,0.198786,0.801214,37,37,0.194754,0.497984
sp|P0DTH5|KITH_HHV11,1,sp|O60477|BRNP1_HUMAN,0.305185,0.694815,885,885,0.289649,0.492232
sp|P0DTH5|KITH_HHV11,2,sp|Q14703|MBTP1_HUMAN,0.305698,0.694302,885,885,0.304195,0.499248
sp|P0DTH5|KITH_HHV11,3,sp|Q76B58|BRNP3_HUMAN,0.315002,0.684998,885,885,0.253849,0.469423
sp|P0DTH5|KITH_HHV11,5,sp|Q9H813|PACC1_HUMAN,0.323534,0.676466,885,885,0.190623,0.433544
sp|P10186|UNG_HHV11,1,sp|P13051|UNG_HUMAN,0.173746,0.826254,592,592,0.696526,0.761390
sp|P10186|UNG_HHV11,2,sp|O60241|AGRB2_HUMAN,0.257716,0.742284,837,592,0.267919,0.505102
sp|P10186|UNG_HHV11,4,sp|O15357|SHIP2_HUMAN,0.266781,0.733219,837,592,0.328536,0.530878
sp|P10186|UNG_HHV11,5,sp|P33402|GCYA2_HUMAN,0.266900,0.733100,837,592,0.224134,0.478617
sp|P10189|HELI_HHV11,2,sp|Q9NR09|BIRC6_HUMAN,0.221976,0.778024,423,423,0.259413,0.518718
sp|P10189|HELI_HHV11,3,sp|Q96Q15|SMG1_HUMAN,0.224164,0.775836,423,423,0.333592,0.554714
sp|P10189|HELI_HHV11,4,sp|Q5T4S7|UBR4_HUMAN,0.227861,0.772139,423,423,0.248469,0.510304
sp|P10189|HELI_HHV11,5,sp|Q6P2Q9|PRP8_HUMAN,0.240242,0.759758,423,423,0.333986,0.546872
sp|P10201|CVC1_HHV11,2,sp|Q96D98|EID2B_HUMAN,0.159969,0.840031,37,37,0.245670,0.542850
sp|P10201|CVC1_HHV11,3,sp|P47874|OMP_HUMAN,0.164040,0.835960,37,37,0.258279,0.547119
sp|P10201|CVC1_HHV11,5,sp|Q6V702|CF299_HUMAN,0.183897,0.816103,37,37,0.346001,0.581052
sp|P10204|UL20_HHV11,1,sp|Q5VYS4|MEDAG_HUMAN,0.185120,0.814880,37,40,0.349226,0.582053
sp|P10204|UL20_HHV11,2,sp|Q9UKY0|PRND_HUMAN,0.192385,0.807615,37,40,0.360124,0.583870
sp|P10204|UL20_HHV11,3,sp|O75663|TIPRL_HUMAN,0.211315,0.788685,37,40,0.274779,0.531732
sp|P10205|TEG4_HHV11,2,sp|Q96D98|EID2B_HUMAN,0.151297,0.848703,37,37,0.302470,0.575586
sp|P10205|TEG4_HHV11,3,sp|P47874|OMP_HUMAN,0.156642,0.843358,37,37,0.352166,0.597762
sp|P10205|TEG4_HHV11,4,sp|Q5VYS4|MEDAG_HUMAN,0.167585,0.832415,37,37,0.363599,0.598007
sp|P10208|UL24_HHV11,1,sp|Q6ZV29|PLPL7_HUMAN,0.241261,0.758739,423,423,0.240192,0.499466
sp|P10208|UL24_HHV11,2,sp|Q8IY17|PLPL6_HUMAN,0.244257,0.755743,423,423,0.262926,0.509334
sp|P10208|UL24_HHV11,3,sp|O75592|MYCB2_HUMAN,0.259243,0.740757,423,423,0.344799,0.542778
sp|P10208|UL24_HHV11,5,sp|Q13315|ATM_HUMAN,0.269832,0.730168,423,423,0.301969,0.516068
sp|P10209|CVC2_HHV11,2,sp|P47874|OMP_HUMAN,0.193850,0.806150,37,37,0.251211,0.528681
sp|P10209|CVC2_HHV11,4,sp|Q5VYS4|MEDAG_HUMAN,0.214414,0.785586,37,37,0.289948,0.537767
sp|P10209|CVC2_HHV11,5,sp|O75663|TIPRL_HUMAN,0.219180,0.780820,37,37,0.303087,0.541954
sp|P10212|TRM1_HHV11,2,sp|Q96D98|EID2B_HUMAN,0.162267,0.837733,37,37,0.248386,0.543060
sp|P10212|TRM1_HHV11,3,sp|P47874|OMP_HUMAN,0.168351,0.831649,37,37,0.214718,0.523183
sp|P10212|TRM1_HHV11,4,sp|Q5VYS4|MEDAG_HUMAN,0.169770,0.830230,37,37,0.204933,0.517581
sp|P10212|TRM1_HHV11,5,sp|Q9NZD4|AHSP_HUMAN,0.194699,0.805301,37,37,0.240400,0.522850
sp|P10216|UL32_HHV11,2,sp|Q96D98|EID2B_HUMAN,0.139445,0.860555,37,37,0.338486,0.599521
sp|P10216|UL32_HHV11,3,sp|O15145|ARPC3_HUMAN,0.170348,0.829652,37,37,0.445207,0.637430
sp|P10216|UL32_HHV11,4,sp|Q5VYS4|MEDAG_HUMAN,0.173051,0.826949,37,37,0.348423,0.587686
sp|P10216|UL32_HHV11,5,sp|P47874|OMP_HUMAN,0.173412,0.826588,37,37,0.346501,0.586544
sp|P10217|TRM2_HHV11,1,sp|P47874|OMP_HUMAN,0.087120,0.912880,37,37,0.222433,0.567657
sp|P10217|TRM2_HHV11,3,sp|Q96D98|EID2B_HUMAN,0.114428,0.885572,37,37,0.241485,0.563528
sp|P10217|TRM2_HHV11,4,sp|O15145|ARPC3_HUMAN,0.115562,0.884438,37,37,0.420445,0.652441
sp|P10217|TRM2_HHV11,5,sp|Q6V702|CF299_HUMAN,0.126847,0.873153,37,37,0.319264,0.596209
sp|P10219|SCP_HHV11,1,sp|P47874|OMP_HUMAN,0.127223,0.872777,37,37,0.274987,0.573882
sp|P10219|SCP_HHV11,4,sp|O15145|ARPC3_HUMAN,0.159117,0.840883,37,37,0.376149,0.608516
sp|P10219|SCP_HHV11,5,sp|Q96D98|EID2B_HUMAN,0.168090,0.831910,37,37,0.265120,0.548515
sp|P10224|RIR2_HHV11,1,sp|Q7Z478|DHX29_HUMAN,0.342420,0.657580,584,584,0.334411,0.495995
sp|P10224|RIR2_HHV11,2,sp|Q6P158|DHX57_HUMAN,0.347952,0.652048,584,584,0.264967,0.458507
sp|P10224|RIR2_HHV11,3,sp|P27708|PYR1_HUMAN,0.349039,0.650961,584,584,0.372382,0.511671
sp|P10224|RIR2_HHV11,4,sp|Q7L2E3|DHX30_HUMAN,0.358649,0.641351,584,584,0.433092,0.537222
sp|P10224|RIR2_HHV11,5,sp|P53396|ACLY_HUMAN,0.366693,0.633307,584,584,0.237521,0.435414
sp|P10240|UL56_HHV11,1,sp|Q9NV92|NFIP2_HUMAN,0.164622,0.835378,401,401,0.532274,0.683826
sp|P10240|UL56_HHV11,2,sp|Q9BT67|NFIP1_HUMAN,0.250816,0.749184,401,401,0.517030,0.633107
sp|P10240|UL56_HHV11,3,sp|Q99946|PRRT1_HUMAN,0.285042,0.714958,401,401,0.395810,0.555384
sp|P10240|UL56_HHV11,4,sp|Q8NG27|PJA1_HUMAN,0.295274,0.704726,410,401,0.482464,0.593595
sp|P10240|UL56_HHV11,5,sp|Q8NHG8|ZNRF2_HUMAN,0.301049,0.698951,410,401,0.428446,0.563698
sp|P32888|TRX1_HHV11,2,sp|P47874|OMP_HUMAN,0.137661,0.862339,37,37,0.217824,0.540082
sp|P32888|TRX1_HHV11,3,sp|Q96D98|EID2B_HUMAN,0.141459,0.858541,37,37,0.222474,0.540508
sp|P32888|TRX1_HHV11,4,sp|O15145|ARPC3_HUMAN,0.158417,0.841583,37,37,0.369927,0.605755
sp|P32888|TRX1_HHV11,5,sp|Q6V702|CF299_HUMAN,0.161304,0.838696,37,37,0.294392,0.566544
sp|P10191|CEP1_HHV11,2,sp|Q92561|PHYIP_HUMAN,0.168158,0.831842,37,37,0.302799,0.567321
sp|P10191|CEP1_HHV11,4,sp|O15145|ARPC3_HUMAN,0.189640,0.810360,37,37,0.337219,0.573789
sp|P10191|CEP1_HHV11,5,sp|P47874|OMP_HUMAN,0.205841,0.794159,37,37,0.288790,0.541475
sp|P10202|TRX2_HHV11,1,sp|P47874|OMP_HUMAN,0.096069,0.903931,37,37,0.218067,0.560999
sp|P10202|TRX2_HHV11,3,sp|Q6V702|CF299_HUMAN,0.132102,0.867898,37,37,0.293868,0.580883
sp|P10202|TRX2_HHV11,4,sp|Q96D98|EID2B_HUMAN,0.142717,0.857283,37,37,0.222564,0.539924
sp|P10202|TRX2_HHV11,5,sp|O15145|ARPC3_HUMAN,0.154657,0.845343,37,37,0.369997,0.607670
sp|P10229|EV45_HHV11,1,sp|P55082|MFAP3_HUMAN,0.255594,0.744406,410,410,0.317498,0.530952
sp|P10229|EV45_HHV11,2,sp|Q96RD6|PANX2_HUMAN,0.262598,0.737402,410,410,0.375951,0.556676
sp|P10229|EV45_HHV11,4,sp|Q01196|RUNX1_HUMAN,0.272887,0.727113,410,410,0.283424,0.505269
sp|P10229|EV45_HHV11,5,sp|Q86XN8|MEX3D_HUMAN,0.275181,0.724819,410,410,0.330750,0.527785
sp|P10234|DUT_HHV11,1,sp|P27708|PYR1_HUMAN,0.305534,0.694466,584,584,0.533903,0.614185
sp|P10234|DUT_HHV11,2,sp|P29475|NOS1_HUMAN,0.325510,0.674490,584,584,0.317830,0.496160
sp|P10234|DUT_HHV11,3,sp|Q8N8A6|DDX51_HUMAN,0.329386,0.670614,584,584,0.365349,0.517982
sp|P10234|DUT_HHV11,4,sp|Q6P158|DHX57_HUMAN,0.330064,0.669936,584,584,0.305506,0.487721
sp|P10234|DUT_HHV11,5,sp|P53396|ACLY_HUMAN,0.331417,0.668583,584,584,0.313274,0.490928
sp|P0DOK1|POLSF_CHIKS,1,sp|O71037|ENK19_HUMAN,0.239191,0.760809,156,156,0.497817,0.629313
sp|P0DOK1|POLSF_CHIKS,2,sp|Q902F8|ENK8_HUMAN,0.240929,0.759071,156,156,0.497841,0.628456
sp|P0DOK1|POLSF_CHIKS,3,sp|Q9UKH3|ENK9_HUMAN,0.241637,0.758363,156,156,0.497841,0.628102
sp|P0DOK1|POLSF_CHIKS,4,sp|P61565|ENK21_HUMAN,0.242328,0.757672,156,156,0.497841,0.627757
sp|P0DOK1|POLSF_CHIKS,5,sp|Q69384|ENK6_HUMAN,0.242464,0.757536,156,156,0.497841,0.627689
sp|Q8JUX6|POLN_CHIKS,2,sp|Q00653|NFKB2_HUMAN,0.244399,0.755601,768,768,0.297063,0.526332
sp|Q8JUX6|POLN_CHIKS,3,sp|P52630|STAT2_HUMAN,0.248189,0.751811,768,768,0.326383,0.539097
sp|Q8JUX6|POLN_CHIKS,4,sp|P48167|GLRB_HUMAN,0.284171,0.715829,768,768,0.227266,0.471547
sp|Q8JUX6|POLN_CHIKS,5,sp|P19838|NFKB1_HUMAN,0.284701,0.715299,768,768,0.271705,0.493502
sp|Q8JUX5|POLS_CHIKS,1,sp|O60477|BRNP1_HUMAN,0.222075,0.777925,885,885,0.318649,0.548287
sp|Q8JUX5|POLS_CHIKS,2,sp|Q76B58|BRNP3_HUMAN,0.232851,0.767149,885,885,0.258577,0.512863
sp|Q8JUX5|POLS_CHIKS,3,sp|O75339|CILP1_HUMAN,0.236391,0.763609,885,885,0.324190,0.543900
sp|Q8JUX5|POLS_CHIKS,4,sp|Q9C0B6|BRNP2_HUMAN,0.252732,0.747268,885,885,0.220248,0.483758
sp|Q32ZE1|POLG_ZIKV,1,sp|Q9NV66|TYW1_HUMAN,0.240078,0.759922,422,422,0.327540,0.543731
sp|Q32ZE1|POLG_ZIKV,2,sp|P15918|RAG1_HUMAN,0.241409,0.758591,422,422,0.375211,0.566901
sp|Q32ZE1|POLG_ZIKV,3,sp|Q5T9A4|ATD3B_HUMAN,0.249313,0.750687,422,422,0.474271,0.612479
sp|Q32ZE1|POLG_ZIKV,4,sp|Q6NUM6|TYW1B_HUMAN,0.260205,0.739795,422,422,0.327587,0.533691
sp|Q32ZE1|POLG_ZIKV,5,sp|Q96TA2|YMEL1_HUMAN,0.266038,0.733962,422,422,0.334127,0.534044
sp|P0DXN9|UORF_ZIKV,4,sp|Q16612|NREP_HUMAN,0.080087,0.919913,36,36,0.454373,0.687143
sp|P0DXN9|UORF_ZIKV,5,sp|Q52M58|CN177_HUMAN,0.086798,0.913202,36,36,0.541824,0.727513
sp|P21401|GP_RVFVZ,1,sp|Q76B58|BRNP3_HUMAN,0.223822,0.776178,885,885,0.282694,0.529436
sp|P21401|GP_RVFVZ,2,sp|O75339|CILP1_HUMAN,0.229834,0.770166,885,885,0.342342,0.556254
sp|P21401|GP_RVFVZ,3,sp|Q9C0B6|BRNP2_HUMAN,0.248928,0.751072,885,885,0.240725,0.495898
sp|P21401|GP_RVFVZ,4,sp|O60477|BRNP1_HUMAN,0.260148,0.739852,885,885,0.338695,0.539274
sp|P21401|GP_RVFVZ,5,sp|Q9H7T0|CTSRB_HUMAN,0.265215,0.734785,885,885,0.322568,0.528676
sp|P21698|NSS_RVFVZ,1,sp|O15145|ARPC3_HUMAN,0.101513,0.898487,37,37,0.375461,0.636974
sp|P21698|NSS_RVFVZ,2,sp|P47874|OMP_HUMAN,0.114540,0.885460,37,37,0.269222,0.577341
sp|P21698|NSS_RVFVZ,5,sp|Q9NXF7|DCA16_HUMAN,0.123238,0.876762,37,37,0.375006,0.625884
sp|P27316|L_RVFVZ,1,sp|Q96TA2|YMEL1_HUMAN,0.206255,0.793745,422,422,0.288038,0.540892
sp|P27316|L_RVFVZ,2,sp|Q6NUM6|TYW1B_HUMAN,0.207715,0.792285,422,422,0.305218,0.548752
sp|P27316|L_RVFVZ,3,sp|Q6PIW4|FIGL1_HUMAN,0.224578,0.775422,422,422,0.299896,0.537659
sp|P27316|L_RVFVZ,4,sp|Q9NV66|TYW1_HUMAN,0.227470,0.772530,422,422,0.305216,0.538873
sp|P27316|L_RVFVZ,5,sp|P15918|RAG1_HUMAN,0.228668,0.771332,422,422,0.357370,0.564351
sp|P21700|NCAP_RVFVZ,1,sp|P47874|OMP_HUMAN,0.125612,0.874388,37,37,0.264887,0.569638
sp|P21700|NCAP_RVFVZ,2,sp|O15145|ARPC3_HUMAN,0.146914,0.853086,37,37,0.380006,0.616546
sp|P21700|NCAP_RVFVZ,3,sp|Q99576|T22D3_HUMAN,0.147134,0.852866,37,37,0.317835,0.585351
sp|P21700|NCAP_RVFVZ,4,sp|Q5VU69|CP141_HUMAN,0.151197,0.848803,37,37,0.231691,0.540247
sp|P21700|NCAP_RVFVZ,5,sp|O14519|CDKA1_HUMAN,0.153216,0.846784,37,37,0.341467,0.594126
sp|P17763|POLG_DEN1W,1,sp|Q9NV66|TYW1_HUMAN,0.208898,0.791102,422,422,0.266717,0.528909
sp|P17763|POLG_DEN1W,2,sp|P15918|RAG1_HUMAN,0.215321,0.784679,422,422,0.404905,0.594792
sp|P17763|POLG_DEN1W,3,sp|Q6NUM6|TYW1B_HUMAN,0.215584,0.784416,422,422,0.266740,0.525578
sp|P17763|POLG_DEN1W,4,sp|Q5T9A4|ATD3B_HUMAN,0.223901,0.776099,422,422,0.454407,0.615253
sp|P17763|POLG_DEN1W,5,sp|Q96TA2|YMEL1_HUMAN,0.224366,0.775634,422,422,0.376144,0.575889
sp|P89522|NCAP_CCHFI,1,sp|O15145|ARPC3_HUMAN,0.115727,0.884273,37,37,0.351306,0.617790
sp|P89522|NCAP_CCHFI,2,sp|P47874|OMP_HUMAN,0.117455,0.882545,37,37,0.225111,0.553828
sp|P89522|NCAP_CCHFI,3,sp|Q9BWV2|SPAT9_HUMAN,0.138897,0.861103,37,37,0.241439,0.551271
sp|P89522|NCAP_CCHFI,5,sp|O75663|TIPRL_HUMAN,0.141642,0.858358,37,37,0.302767,0.580563
sp|Q6TQR6|L_CCHFI,1,sp|O15145|ARPC3_HUMAN,0.107013,0.892987,37,37,0.350082,0.621535
sp|Q6TQR6|L_CCHFI,2,sp|Q9BWV2|SPAT9_HUMAN,0.109588,0.890412,37,37,0.251140,0.570776
sp|Q6TQR6|L_CCHFI,3,sp|O75663|TIPRL_HUMAN,0.115000,0.885000,37,37,0.409045,0.647023
sp|Q6TQR6|L_CCHFI,4,sp|Q92561|PHYIP_HUMAN,0.115007,0.884993,37,37,0.230919,0.557956
sp|Q6TQR6|L_CCHFI,5,sp|P47874|OMP_HUMAN,0.118822,0.881178,37,37,0.257016,0.569097
sp|Q8JSZ3|GP_CCHFI,1,sp|Q76B58|BRNP3_HUMAN,0.182651,0.817349,885,885,0.360767,0.589058
sp|Q8JSZ3|GP_CCHFI,2,sp|Q9C0B6|BRNP2_HUMAN,0.202379,0.797621,885,885,0.265242,0.531431
sp|Q8JSZ3|GP_CCHFI,3,sp|O75339|CILP1_HUMAN,0.226260,0.773740,885,885,0.343839,0.558789
sp|Q8JSZ3|GP_CCHFI,5,sp|O60477|BRNP1_HUMAN,0.228934,0.771066,885,885,0.397396,0.584231
sp|P0DTL3|NSS_CCHFI,1,sp|Q6ZPB5|SDIM1_HUMAN,0.194163,0.805837,36,36,0.357760,0.581798
sp|P0DTL3|NSS_CCHFI,3,sp|A0A7L8Y648|MIAC_HUMAN,0.230031,0.769969,36,36,0.331620,0.550795
sp|P03314|POLG_YEFV1,1,sp|Q9NV66|TYW1_HUMAN,0.205617,0.794383,422,422,0.286365,0.540374
sp|P03314|POLG_YEFV1,2,sp|P15918|RAG1_HUMAN,0.212640,0.787360,422,422,0.386434,0.586897
sp|P03314|POLG_YEFV1,3,sp|Q6NUM6|TYW1B_HUMAN,0.216841,0.783159,422,422,0.286410,0.534785
sp|P03314|POLG_YEFV1,4,sp|Q96TA2|YMEL1_HUMAN,0.224140,0.775860,422,422,0.296104,0.535982
sp|P03314|POLG_YEFV1,5,sp|Q5T9A4|ATD3B_HUMAN,0.225154,0.774846,422,422,0.452417,0.613632
sp|Q98325|CFLA_MCV1,1,sp|Q9ULZ3|ASC_HUMAN,0.235449,0.764551,121,121,0.543654,0.654102
sp|Q98325|CFLA_MCV1,2,sp|Q56P42|PYDC2_HUMAN,0.259724,0.740276,121,121,0.614887,0.677582
